OSEBuildingID,DataYear,PrimaryPropertyType,Address,City,State,ZipCode,TaxParcelIdentificationNumber,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),DefaultData,ComplianceStatus,Outlier,GHGEmissionsIntensity,PredictedEnergyStar
29,2016,Hotel,4242 ROOSEVELT WAY NE,Seattle,WA,98105.0,1142000755,NORTHEAST,47.65959,-122.31755,2001.0,1.0,6.0,88592,30586.0,58006.0,"Hotel, Parking",Hotel,58006.0,Parking,30586.0,,,84.0,63.29999924,148.5,3673186.75,0.0,2266231.0,1397303.0,False,Compliant,,1.02,0
30,2016,University,1000 Lenora St.,Seattle,WA,98121.0,0660001420,DOWNTOWN,47.61816,-122.33629,1928.0,1.0,7.0,126593,0.0,126593.0,College/University,College/University,125000.0,,,,,57.403,97.5,180.0,12183313.0,0.0,4647474.0,6696211.0,False,Compliant,,3.07,1
31,2016,Other,1015 & 1017 Olive Way,Seattle,WA,98101.0,0660001725,DOWNTOWN,47.615,-122.33081,1930.0,1.0,2.0,67224,0.0,67224.0,Automobile Dealership,Automobile Dealership,67224.0,,,,,,19.5,61.20000076,1310236.625,0.0,1310236.0,0.0,False,Compliant,,0.14,0
32,2016,Hotel,1011 Pike ST,Seattle,WA,98101.0,0660001832,EAST,47.61301,-122.32929,1991.0,1.0,8.0,158676,30301.0,128375.0,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,90.836,46.29999924,58.79999924,5424942.0,0.0,572307.0,4755745.0,False,Compliant,,1.62,1
33,2016,Hotel,1800 Yale Ave,Seattle,WA,98101.0,0660002680,DOWNTOWN,47.61784,-122.32966,2001.0,1.0,10.0,171866,38281.0,133585.0,Hotel,Hotel,128909.0,,,,,57.0,86.69999695,180.6000061,11171407.0,0.0,5610706.0,5451210.0,False,Compliant,,1.91,0
34,2016,K-12 School,301/300 21st Ave. E.,Seattle,WA,98112.0,0688000090,Central,47.62266,-122.30547,1955.0,1.0,1.0,126351,0.0,126351.0,K-12 School,K-12 School,126351.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,False,Missing Data,,0.0,0
35,2016,Hotel,2200 5th ave,Seattle,WA,98121.0,0697000170,DOWNTOWN,47.61558,-122.34186,1978.0,1.0,5.0,68410,16200.0,52210.0,Hotel,Hotel,47994.0,,,,,57.0,95.0,206.3000031,4557974.0,0.0,2346349.0,2110365.0,False,Compliant,,1.88,0
36,2016,K-12 School,11051 34th Ave. N.E.,Seattle,WA,98125.0,0752000170,NORTH,47.70994,-122.29301,1949.0,1.0,2.0,160645,0.0,160645.0,K-12 School,K-12 School,164229.0,,,,,75.0,47.5,75.69999695,7800349.5,0.0,1947601.0,4831572.0,True,Error - Correct Default Data,,1.68,0
37,2016,K-12 School,201 Garfield St.,Seattle,WA,98109.0,0809000005,MAGNOLIA / QUEEN ANNE,47.6329,-122.35172,1989.0,1.0,2.0,51582,0.0,51582.0,K-12 School,K-12 School,55166.0,,,,,,0.0,0.0,0.0,0.0,1496816.0,0.0,False,Missing Data,,0.2,0
38,2016,Small- and Mid-Sized Office,4649 Sunnyside Ave. N.,Seattle,WA,98070.0,0825049008,LAKE UNION,47.6641,-122.33118,1906.0,1.0,3.0,87262,0.0,87262.0,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,40943.0,K-12 School,18153.0,Other - Entertainment/Public Assembly,4307.0,63.174,69.80000305,115.9000015,4703690.0,0.0,1352843.0,2793077.0,False,Compliant,,1.81,1
40,2016,Hotel,5036 25th Ave NE,Seattle,WA,98105.0,0925049117,NORTHEAST,47.66583,-122.29965,1994.0,1.0,4.0,81871,0.0,81871.0,Hotel,Hotel,81871.0,,,,,29.0,82.19999695,164.8999939,6731281.5,0.0,3016399.0,3652169.0,False,Compliant,,2.63,0
41,2016,Self-Storage Facility,2746 Ne 45th St Suite 100,Seattle,WA,98105.0,0925049330,NORTHEAST,47.66172,-122.29598,1955.0,1.0,2.0,110356,0.0,110356.0,Self-Storage Facility,Self-Storage Facility,26225.0,,,,,77.054,12.39999962,35.5,326223.0938,0.0,281265.0,37100.0,False,Compliant,,0.04,1
43,2016,Mixed Use Property,7755 E MARGINAL WAY S,Seattle,WA,98108.0,0022000005,GREATER DUWAMISH,47.53493,-122.31788,1992.0,1.0,3.0,494835,0.0,494835.0,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Office,757027.0,Laboratory,639931.0,Non-Refrigerated Warehouse,459748.0,8.0,233.1000061,400.2999878,471613856.0,0.0,150476283.0,297909000.0,False,Compliant,,34.09,0
46,2016,Warehouse,3301 S NORFOLK ST,Seattle,WA,98118.0,0323049024,GREATER DUWAMISH,47.51138,-122.28875,1961.0,3.0,2.0,714095,0.0,714095.0,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,616000.0,Refrigerated Warehouse,276000.0,Office,71000.0,52.692,45.79999924,143.8000031,44110016.0,0.0,44731153.0,0.0,False,Compliant,,0.44,1
50,2016,K-12 School,4000 27th Ave. W.,Seattle,WA,98199.0,0369000400,MAGNOLIA / QUEEN ANNE,47.65671,-122.39047,1990.0,1.0,2.0,54986,0.0,54986.0,K-12 School,K-12 School,54986.0,,,,,97.0,32.79999924,83.19999695,1802471.375,0.0,1217589.0,432690.0,False,Compliant,,0.57,0
51,2016,K-12 School,3003 N.E. 75th St.,Seattle,WA,98115.0,0425049022,NORTHEAST,47.68252,-122.29498,1950.0,1.0,2.0,175565,0.0,175565.0,K-12 School,K-12 School,182861.0,,,,,88.0,40.09999847,60.40000153,7329817.5,0.0,1599684.0,4799443.0,True,Error - Correct Default Data,,1.52,0
52,2016,Small- and Mid-Sized Office,5305 Shilshole Ave NW,Seattle,WA,98107.0,0467000429,BALLARD,47.66587,-122.38476,1961.0,1.0,2.0,94900,0.0,94900.0,"Non-Refrigerated Warehouse, Office",Office,55586.0,Non-Refrigerated Warehouse,39314.0,,,57.0,68.90000153,165.8999939,6536359.5,0.0,4291585.0,1894876.0,False,Compliant,,1.38,0
53,2016,Small- and Mid-Sized Office,2524 16th Ave S,Seattle,WA,98144.0,0570000340,GREATER DUWAMISH,47.58034,-122.31132,1900.0,1.0,2.0,52554,0.0,52554.0,"Office, Other - Education",Office,51029.0,Other - Education,7849.0,,,83.0,53.5,112.3000031,3150635.5,0.0,1579749.0,1371582.0,False,Compliant,,1.6,0
54,2016,K-12 School,8200 Wallingford Ave. N,Seattle,WA,98103.0,0625049002,NORTHWEST,47.68891,-122.33553,1954.0,1.0,3.0,175015,0.0,175015.0,K-12 School,K-12 School,175015.0,,,,,95.0,45.09999847,80.40000153,7886505.5,0.0,2679739.0,4315001.0,False,Compliant,,1.42,0
55,2016,Self-Storage Facility,11 Vine Street,Seattle,WA,98121.0,0653000225,DOWNTOWN,47.61351,-122.35129,1911.0,1.0,3.0,70586,0.0,70586.0,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,38439.0,Vocational School,28197.0,Office,3859.0,81.869,33.09999847,79.19999695,2331573.25,0.0,1500229.0,658400.0,False,Compliant,,0.64,1
56,2016,Hotel,1301 Sixth Ave,Seattle,WA,98101.0,1975700040,DOWNTOWN,47.60946,-122.33337,1969.0,1.0,24.0,332210,205970.0,126240.0,Hotel,Hotel,348630.0,,,,,67.0,46.40000153,121.8000031,16163194.0,0.0,12204406.0,3958787.0,False,Compliant,,0.89,0
57,2016,Large Office,413 Pine Street,Seattle,WA,98101.0,1975700200,DOWNTOWN,47.6113,-122.33659,1973.0,1.0,5.0,168115,0.0,168115.0,"Data Center, Office, Retail Store",Office,103362.0,Retail Store,65676.0,Data Center,493.0,78.0,56.29999924,176.6000061,9536161.0,0.0,9536160.0,0.0,False,Compliant,,0.4,0
58,2016,Other,1525 4th Ave,Seattle,WA,98101.0,1975700365,DOWNTOWN,47.61076,-122.33765,1920.0,1.0,2.0,57428,0.0,57428.0,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mall,51747.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5681.0,,,89.515,21.60000038,48.40000153,1239429.75,0.0,714939.0,532423.0,False,Compliant,,0.58,1
59,2016,Small- and Mid-Sized Office,1520 3rd Ave,Seattle,WA,98101.0,1975700380,DOWNTOWN,47.61048,-122.33794,1910.0,1.0,8.0,59400,0.0,59400.0,"Office, Retail Store",Office,34947.0,Retail Store,4993.0,,,14.0,88.30000305,412.2000122,5242479.5,0.0,5071973.0,0.0,False,Compliant,,0.6,0
60,2016,Mixed Use Property,1401 3rd Avenue,Seattle,WA,98101.0,1975700525,DOWNTOWN,47.60886,-122.33744,1926.0,1.0,2.0,52549,0.0,52549.0,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,23500.0,Restaurant,23500.0,Office,5459.0,,299.0,495.5,15683742.0,0.0,4632459.0,10393737.0,False,Compliant,,11.12,0
62,2016,Hotel,1531 7th Ave,Seattle,WA,98101.0,1976700010,DOWNTOWN,47.61233,-122.33432,1930.0,1.0,20.0,98634,10043.0,88591.0,"Hotel, Parking, Restaurant",Hotel,83591.0,Parking,10043.0,Restaurant,5000.0,71.0,57.29999924,167.0,5078816.0,0.0,4290059.0,551288.0,False,Compliant,,0.6,0
63,2016,Hotel,1400 6th Avenue,Seattle,WA,98101.0,1976700095,DOWNTOWN,47.61087,-122.33339,1982.0,1.0,34.0,994212,146694.0,847518.0,"Hotel, Parking, Swimming Pool",Hotel,994212.0,Parking,117668.0,Swimming Pool,0.0,63.0,82.80000305,184.5,82318072.0,11598686.0,45545529.0,23324992.0,False,Compliant,,2.47,0
65,2016,Hotel,86 Pine St,Seattle,WA,98101.0,1977200050,DOWNTOWN,47.60997,-122.34138,1985.0,1.0,7.0,71150,0.0,71150.0,"Hotel, Parking, Restaurant, Retail Store",Hotel,41340.0,Parking,13730.0,Retail Store,9604.0,98.0,93.09999847,215.8999939,5348309.0,0.0,3243900.0,2104408.0,False,Compliant,,1.89,0
66,2016,Hotel,1926 2nd Ave,Seattle,WA,98101.0,1977201035,DOWNTOWN,47.61155,-122.34114,1908.0,1.0,7.0,122810,0.0,122810.0,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,88360.0,Other - Entertainment/Public Assembly,26450.0,Retail Store,8000.0,99.0,49.59999847,74.09999847,6088417.5,0.0,1293561.0,4107716.0,False,Compliant,,1.85,0
67,2016,Hotel,618 JOHN ST,Seattle,WA,98109.0,1991200730,LAKE UNION,47.61986,-122.34413,1959.0,1.0,5.0,113173,42546.0,70627.0,"Hotel, Parking",Hotel,70627.0,Parking,42546.0,,,86.0,76.90000153,172.1000061,5428403.5,0.0,2944680.0,2339663.0,False,Compliant,,1.28,0
68,2016,Hotel,211 Dexter Ave N,Seattle,WA,98109.0,1991200935,LAKE UNION,47.62001,-122.34274,2000.0,1.0,7.0,150453,34735.0,115718.0,Hotel,Hotel,107547.0,Restaurant,3000.0,,,84.0,61.79999924,129.8000031,6835263.5,0.0,3396109.0,3319078.0,False,Compliant,,1.33,0
69,2016,Hotel,226 Aurora Ave N,Seattle,WA,98109.0,1991200940,LAKE UNION,47.62025,-122.34314,1997.0,1.0,6.0,116300,28200.0,88100.0,Hotel,Hotel,88490.0,Parking,28300.0,,,80.0,67.09999847,147.1000061,5941927.0,0.0,3188457.0,2639138.0,False,Compliant,,1.4,0
70,2016,Hotel,206 Western Ave West,Seattle,WA,98119.0,1992200235,MAGNOLIA / QUEEN ANNE,47.62023,-122.35951,1998.0,1.0,6.0,155602,36744.0,118858.0,Hotel,Hotel,155602.0,,,,,81.0,44.0,107.5999985,6849826.5,0.0,4558937.0,2277962.0,False,Compliant,,0.98,0
73,2016,K-12 School,1617 Interlaken Drive East,Seattle,WA,98136.0,2125049015,EAST,47.63442,-122.30793,1911.0,1.0,3.0,56072,0.0,56072.0,K-12 School,K-12 School,56072.0,,,,,76.0,67.80000305,92.69999695,3800842.5,0.0,551867.0,2682920.0,False,Compliant,,2.61,0
77,2016,Hotel,601 Roy St,Seattle,WA,98109.0,2249000170,MAGNOLIA / QUEEN ANNE,47.62519,-122.34456,1999.0,1.0,4.0,122942,44891.0,78051.0,"Hotel, Parking",Hotel,78051.0,Parking,44891.0,,,94.0,69.0,138.6999969,5387530.0,0.0,2423730.0,2913604.0,False,Compliant,,1.4,0
82,2016,Small- and Mid-Sized Office,1700 E. Cherry St,Seattle,WA,98122.0,2254501944,CENTRAL,47.60823,-122.30956,1962.0,1.0,2.0,54984,0.0,54984.0,Office,Office,54984.0,,,,,71.0,66.0,144.5,3630147.25,0.0,1978230.0,1396981.0,False,Compliant,,1.6,0
84,2016,Senior Care Community,4831 35th Ave SW,Seattle,WA,98126.0,2324039001,SOUTHWEST,47.55837,-122.37751,1922.0,1.0,5.0,217603,0.0,217603.0,"Parking, Senior Care Community",Senior Care Community,296313.0,Parking,0.0,,,54.0,153.6999969,244.8000031,45547252.0,0.0,11824772.0,30967300.0,False,Compliant,,7.94,0
85,2016,Senior Care Community,13023 Greenwood Ave. N,Seattle,WA,98133.0,2426039059,NORTHWEST,47.72426,-122.35599,1970.0,1.0,2.0,93397,0.0,93397.0,Senior Care Community,Senior Care Community,93397.0,,,,,1.0,181.6000061,320.0,16959754.0,0.0,5679498.0,10723064.0,False,Compliant,,6.52,0
86,2016,Hotel,207 Pontius Ave N,Seattle,WA,98109.0,2467400430,LAKE UNION,47.61988,-122.33211,2008.0,1.0,6.0,84103,20732.0,63371.0,"Hotel, Parking",Hotel,63371.0,Parking,20732.0,,,74.0,59.79999924,156.6999969,3787499.0,0.0,2812688.0,893412.0,False,Compliant,,0.8,0
87,2016,K-12 School,3701 S.W. 104th St.,Seattle,WA,98146.0,2518400005,SOUTHWEST,47.5097,-122.37759,1948.0,1.0,2.0,53352,0.0,53352.0,K-12 School,K-12 School,65568.0,,,,,,0.0,0.0,0.0,0.0,600813.0,0.0,False,Missing Data,,0.08,0
89,2016,Medical Office,1200 Harvard Ave,Seattle,WA,98122.0,1978201270,EAST,47.61244,-122.3214,1965.0,0.0,3.0,179014,0.0,179014.0,Medical Office,Medical Office,179014.0,,,,,48.0,92.30000305,210.3000031,16527711.0,0.0,9886484.0,6814570.0,False,Compliant,,2.41,0
95,2016,Hotel,900 Madison St.,Seattle,WA,98104.0,1979200270,EAST,47.60898,-122.32693,1908.0,1.0,7.0,76631,0.0,76631.0,Hotel,Hotel,76631.0,,,,,71.0,94.59999847,171.6999969,7250730.5,0.0,2660742.0,4598016.0,False,Compliant,,3.43,0
96,2016,Mixed Use Property,921 Terry Ave.,Seattle,WA,98104.0,1979200290,EAST,47.60845,-122.32637,1983.0,1.0,6.0,99780,9341.0,90439.0,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,40174.0,Parking,20868.0,Office,17020.0,12.743,207.3000031,504.2999878,15684371.0,5327802.5,10145313.0,0.0,False,Compliant,,4.83,1
98,2016,Retail Store,400 Westlake Ave N,Seattle,WA,98109.0,1983200230,LAKE UNION,47.62237,-122.33805,1929.0,1.0,2.0,58320,0.0,58320.0,Retail Store,Retail Store,72072.0,,,,,96.0,17.20000076,28.79999924,1243027.75,0.0,361803.0,687945.0,False,Compliant,,0.67,0
100,2016,Large Office,551 Boren Ave. North,Seattle,WA,98109.0,1983200325,LAKE UNION,47.62424,-122.33646,2010.0,1.0,5.0,316306,0.0,316306.0,"Office, Other, Parking, Retail Store",Office,261826.0,Parking,150726.0,Other,15139.0,96.0,48.40000153,144.3999939,13909270.0,0.0,12871091.0,924861.0,False,Compliant,,0.44,0
102,2016,Hotel,800 Fairview Ave. N,Seattle,WA,98109.0,1984200065,LAKE UNION,47.62642,-122.33325,1990.0,1.0,7.0,282863,44766.0,238097.0,"Hotel, Parking",Hotel,235788.0,Parking,51537.0,,,37.0,85.59999847,189.1999969,20194606.0,0.0,10980652.0,8478651.0,False,Compliant,,1.86,0
103,2016,Other,334 1st Ave. N,Seattle,WA,98109.0,1985200003,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1962.0,1.0,1.0,389000,0.0,389000.0,Other,Other,368000.0,,,,,63.76,64.5,152.1000061,23736924.0,6093150.0,14419146.0,688680.0,False,Compliant,,1.56,1
104,2016,Other,151 Mercer St.,Seattle,WA,98109.0,1985200003,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1962.0,1.0,1.0,91213,0.0,91213.0,Other,Other,65000.0,,,,,34.48,125.9000015,265.3999939,8181881.0,4120130.0,3754115.0,0.0,False,Compliant,,3.77,1
106,2016,Other,305 Harrison St.,Seattle,WA,98109.0,1985200305,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1938.0,1.0,5.0,396085,0.0,396085.0,Other,Other,278500.0,,,,,58.615,76.30000305,140.0,21257836.0,9763690.0,7252325.0,0.0,False,Compliant,,2.03,1
107,2016,Large Office,333 Boren Ave. N.,Seattle,WA,98109.0,1986200410,LAKE UNION,47.62112,-122.33629,2010.0,1.0,12.0,571329,0.0,571329.0,"Office, Other, Parking",Office,598801.0,Parking,310699.0,Other,26203.0,91.0,64.19999695,176.3999939,40153432.0,0.0,32206199.0,7399685.0,False,Compliant,,1.08,0
110,2016,Other,225 Mercer St.,Seattle,WA,98109.0,1988200440,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1962.0,1.0,2.0,52000,0.0,52000.0,Other,Other,52000.0,,,,,67.117,51.59999847,109.5,2682242.75,1202380.0,1293349.0,0.0,False,Compliant,,1.96,1
111,2016,Other,363 Mercer St.,Seattle,WA,98109.0,1988200700,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1928.0,1.0,1.0,60696,0.0,60696.0,Other,Other,108000.0,,,,,83.73,8.100000381,25.5,875943.3125,0.0,875943.0,0.0,False,Compliant,,0.1,1
112,2016,Other,321 Mercer St.,Seattle,WA,98109.0,1988200700,MAGNOLIA / QUEEN ANNE,47.62395,-122.35143,1928.0,1.0,2.0,262048,0.0,262048.0,Other,Other,296000.0,,,,,60.717,70.30000305,175.1999969,20823520.0,5137220.0,13512686.0,0.0,False,Compliant,,1.87,1
113,2016,Small- and Mid-Sized Office,401 Mercer St,Seattle,WA,98109.0,1988200705,MAGNOLIA / QUEEN ANNE,47.62391,-122.34837,1986.0,0.0,2.0,66240,2352.0,63888.0,"Data Center, Distribution Center, Office, Parking, Retail Store",Office,45900.0,Data Center,5181.0,Distribution Center,4551.0,39.24,75.40000153,236.6000061,4192107.75,0.0,4166305.0,0.0,False,Compliant,,0.44,1
114,2016,Large Office,500 5th Ave N,Seattle,WA,98109.0,1988201155,MAGNOLIA / QUEEN ANNE,47.62419,-122.34443,2010.0,1.0,6.0,920598,303707.0,616891.0,"Office, Other, Parking",Office,729584.0,Parking,185014.0,Other,6000.0,93.0,51.79999924,131.6000061,38105108.0,0.0,27597261.0,9069780.0,False,Compliant,,0.73,0
